
| :symbol | :qty |           :px-open |   :dt-open |          :px-close |  :dt-close |                 :pl |
|   FSAGX |  100 |  39.83000183105469 | 2008-06-21 |  41.20000076293945 | 2008-07-07 |  136.99989318847656 |
|   FBIOX |  100 |  68.19999694824219 | 2008-07-11 |               67.5 | 2008-07-14 |  -69.99969482421875 |
|   FSAGX |  100 |  45.04999923706055 | 2008-07-14 | 43.349998474121094 | 2008-07-16 |  -170.0000762939453 |
|   FDLSX |  100 |               63.0 | 2008-07-18 |   62.9900016784668 | 2008-07-24 | -0.9998321533203125 |
|   FBMPX |  100 | 31.719999313354492 | 2008-07-18 | 30.889999389648438 | 2008-07-28 |  -82.99999237060547 |
|   FSRBX |  100 | 17.959999084472656 | 2008-07-25 | 17.270000457763672 | 2008-07-28 |  -68.99986267089844 |
|   FSMEX |  100 | 25.219999313354492 | 2008-07-18 | 24.899999618530273 | 2008-07-28 | -31.999969482421875 |
|   FBIOX |  100 |  74.38999938964844 | 2008-07-29 |   72.2300033569336 | 2008-08-01 | -215.99960327148438 |
|   FWRLX |  100 |  7.010000228881836 | 2008-08-01 |  6.909999847412109 | 2008-08-04 | -10.000038146972656 |
|   FSRBX |  100 |  19.31999969482422 | 2008-08-01 | 18.790000915527344 | 2008-08-07 |   -52.9998779296875 |
|   FIDSX |  100 |  71.61000061035156 | 2008-08-02 |  70.06999969482422 | 2008-08-07 | -154.00009155273438 |
|   FDLSX |  100 |   66.5999984741211 | 2008-08-05 |  67.44999694824219 | 2008-08-13 |   84.99984741210938 |
|   FSDCX |  100 | 21.389999389648438 | 2008-08-08 |   21.1200008392334 | 2008-08-18 | -26.999855041503906 |
|   FWRLX |  100 |  7.199999809265137 | 2008-08-14 |  7.079999923706055 | 2008-08-18 | -11.999988555908203 |
|   FDCPX |  100 |  41.83000183105469 | 2008-08-08 |   41.7599983215332 | 2008-08-18 | -7.0003509521484375 |
|   FSPHX |  100 | 108.30999755859375 | 2008-08-19 | 107.45999908447266 | 2008-08-25 |  -84.99984741210938 |
|   FPHAX |  100 | 10.479999542236328 | 2008-08-19 | 10.390000343322754 | 2008-08-29 |  -8.999919891357422 |
|   FSDPX |  100 |   55.7400016784668 | 2008-08-29 | 53.880001068115234 | 2008-09-02 | -186.00006103515625 |
